,Model,MSE,R²
0,Linear Regression,0.030921493260540795,0.36407753957802624
1,Random Forest,0.02069108691813217,0.5744731086912134
2,Gradient Boosting,0.01845040752878087,0.6205542710169478
3,Neural Network,0.019374374414373566,0.6015522360801571
