Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Julián Álvarez,19.0,ar ARG,FW,23-341,56,1,1,0,0,3,2,0,0,0,0,0,4,0,0,0,,
Kevin De Bruyne,17.0,be BEL,"FW,MF",32-193,34,0,1,0,0,1,0,0,0,0,1,0,7,0,0,0,,
Jack Grealish,10.0,eng ENG,AM,28-119,56,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,
Jeremy Doku,11.0,be BEL,"FW,MF",21-225,34,1,0,0,0,1,1,0,0,0,2,0,2,1,0,0,,
Phil Foden,47.0,eng ENG,AM,23-224,75,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,,
Micah Hamilton,92.0,eng ENG,MF,20-055,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Oscar Bobb,52.0,no NOR,AM,20-179,90,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,,
Mateo Kovačić,8.0,hr CRO,DM,29-246,74,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,,
Jacob Wright,56.0,eng ENG,MF,18-108,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Rico Lewis,82.0,eng ENG,DM,19-047,90,0,1,0,0,1,0,0,0,1,1,0,4,0,0,0,,
Sergio Gómez,21.0,es ESP,LB,23-125,90,0,0,0,0,2,1,0,0,1,0,0,5,1,0,0,,
Joško Gvardiol,24.0,hr CRO,CB,21-349,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Rúben Dias,3.0,pt POR,CB,26-238,90,0,0,0,0,3,0,0,0,2,0,0,0,1,1,0,,
Manuel Akanji,25.0,ch SUI,RB,28-172,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Matheus Nunes,27.0,pt POR,MF,25-133,73,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,
Stefan Ortega,18.0,de GER,GK,31-062,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16 Players,,,,,990,4,4,0,0,18,7,0,0,6,7,0,29,6,3,0,,
