Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Erling Haaland,9.0,no NOR,FW,23-096,89,2,0,1,1,7,4,0,0,25,0,0,0,1.7,0.9,0.0,2,0,11,12,91.7,2,15,1,3,1
Sergio Gómez,21.0,es ESP,"CM,FW",23-051,1,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,0,0,6,6,100.0,0,6,0,0,0
Jack Grealish,10.0,eng ENG,LW,28-045,90,0,0,0,0,3,2,0,0,64,0,0,1,0.2,0.2,0.6,7,1,50,57,87.7,5,48,8,5,3
Jeremy Doku,11.0,be BEL,RW,21-151,71,0,0,0,0,2,2,0,0,46,0,0,1,0.4,0.4,0.5,4,0,31,36,86.1,1,34,2,10,7
Bernardo Silva,20.0,pt POR,RW,29-076,19,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,3,14,3,0,0
Mateo Kovačić,8.0,hr CRO,CM,29-172,90,0,0,0,0,1,0,0,0,58,3,1,1,0.1,0.1,0.1,1,0,43,48,89.6,1,37,5,1,0
Matheus Nunes,27.0,pt POR,CM,25-059,71,0,0,0,0,4,0,0,0,54,0,1,1,0.6,0.6,0.2,6,0,38,45,84.4,9,35,1,5,3
Julián Álvarez,19.0,ar ARG,"CM,FW",23-267,19,0,0,0,0,1,1,0,0,20,1,0,0,0.1,0.1,0.1,4,0,17,17,100.0,4,15,3,1,0
Rodri,16.0,es ESP,DM,27-125,89,0,1,0,0,2,1,0,0,114,1,2,0,0.2,0.2,0.3,12,2,103,110,93.6,17,77,6,0,0
Kalvin Phillips,4.0,eng ENG,DM,27-327,1,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,11,100.0,0,9,0,0,0
Rico Lewis,82.0,eng ENG,DM,18-338,90,0,0,0,0,1,0,0,0,94,1,1,1,0.0,0.0,0.2,3,1,79,86,91.9,6,54,0,2,0
Nathan Aké,6.0,nl NED,LB,28-249,90,0,0,0,0,0,0,0,0,99,2,0,0,0.0,0.0,0.1,3,0,88,92,95.7,6,65,0,0,0
Rúben Dias,3.0,pt POR,CB,26-164,90,0,0,0,0,1,1,0,0,103,0,0,2,0.1,0.1,0.0,2,1,94,97,96.9,2,75,1,0,0
Manuel Akanji,25.0,ch SUI,RB,28-098,90,1,0,0,0,1,1,0,0,79,0,0,1,0.7,0.7,0.1,3,0,72,75,96.0,7,50,3,0,0
Ederson,31.0,br BRA,GK,30-069,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,1,0,39,44,88.6,0,35,0,0,0
15 Players,,,,,990,3,1,1,1,25,12,0,0,841,8,5,8,4.3,3.5,2.3,48,5,699,754,92.7,63,569,33,27,14
