Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Erling Haaland,9.0,no NOR,FW,23-060,90,0,1,0,0,6,2,0,0,14,0,0,0,1.2,1.2,0.6,2,1,6,7,85.7,1,6,0,0,0
Phil Foden,47.0,eng ENG,"LW,RW",23-114,82,0,1,0,0,5,1,0,0,74,0,0,1,0.9,0.9,0.5,6,1,58,63,92.1,9,38,4,3,2
Oscar Bobb,52.0,no NOR,RW,20-069,8,0,0,0,0,1,1,0,0,12,1,0,0,0.0,0.0,0.0,2,0,7,8,87.5,1,9,0,1,0
Bernardo Silva,20.0,pt POR,RW,29-040,43,0,0,0,0,3,1,0,0,38,2,0,2,0.2,0.2,0.0,4,0,25,30,83.3,3,24,2,0,0
Jeremy Doku,11.0,be BEL,"LW,RW",21-115,47,0,0,0,0,2,1,0,0,39,1,0,2,0.1,0.1,0.0,3,1,24,29,82.8,2,25,7,6,4
Julián Álvarez,19.0,ar ARG,AM,23-231,90,2,0,0,0,8,5,0,0,82,2,0,0,1.1,1.1,0.4,14,1,57,66,86.4,7,56,7,3,3
Rodri,16.0,es ESP,DM,27-089,82,1,0,0,0,5,2,1,0,112,2,0,0,0.3,0.3,0.0,5,0,92,103,89.3,18,82,6,4,3
Kalvin Phillips,4.0,eng ENG,DM,27-291,8,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,7,0,0,0
Matheus Nunes,27.0,pt POR,DM,25-023,90,0,0,0,0,2,1,0,0,106,1,1,0,0.1,0.1,0.6,8,1,90,93,96.8,10,69,8,8,2
Sergio Gómez,21.0,es ESP,LB,23-015,57,0,0,0,0,1,0,0,0,64,1,0,0,0.0,0.0,0.8,8,0,49,60,81.7,4,36,3,1,0
Manuel Akanji,25.0,ch SUI,CB,28-062,33,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,24,24,100.0,4,15,1,0,0
Nathan Aké,6.0,nl NED,"CB,LB",28-213,90,0,0,0,0,2,2,0,0,103,1,0,0,0.1,0.1,0.0,9,1,91,97,93.8,12,71,3,1,1
Rúben Dias,3.0,pt POR,CB,26-128,82,0,0,0,0,1,0,1,0,89,1,2,0,0.1,0.1,0.0,1,0,78,84,92.9,12,64,4,0,0
Rico Lewis,82.0,eng ENG,RB,18-302,8,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,1,5,0,0,0
Kyle Walker,2.0,eng ENG,"RB,CB",33-114,90,0,0,0,0,1,0,0,0,75,2,0,0,0.0,0.0,0.3,6,0,65,72,90.3,5,49,2,0,0
Ederson,31.0,br BRA,GK,30-033,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,30,30,100.0,0,21,0,1,0
16 Players,,,,,990,3,2,0,0,37,16,2,0,882,14,3,6,4.2,4.2,3.3,68,6,709,782,90.7,90,577,47,28,15
