Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Erling Haaland,9.0,no NOR,FW,23-130,90,1,0,0,0,5,4,0,0,23,1,0,0,0.5,0.5,0.0,0,0,9,11,81.8,3,15,1,1,0
Jack Grealish,10.0,eng ENG,LW,28-079,53,0,0,0,0,0,0,0,0,31,0,1,0,0.0,0.0,0.1,3,0,22,26,84.6,2,27,0,4,1
Jeremy Doku,11.0,be BEL,LW,21-185,37,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,23,30,76.7,1,32,8,7,4
Phil Foden,47.0,eng ENG,"RW,CM",23-184,90,1,2,0,0,1,1,0,0,72,0,1,0,0.2,0.2,0.5,5,2,59,65,90.8,12,54,2,2,1
Rico Lewis,82.0,eng ENG,"CM,DM",19-007,90,0,0,0,0,1,0,0,0,47,1,1,0,0.2,0.2,0.0,2,1,41,44,93.2,3,36,2,1,1
Bernardo Silva,20.0,pt POR,"CM,RW",29-110,90,0,0,0,0,1,0,0,0,49,1,1,0,0.1,0.1,0.3,2,0,37,41,90.2,3,36,2,2,0
Manuel Akanji,25.0,ch SUI,"DM,RB",28-132,90,0,0,0,0,1,0,0,0,111,0,0,1,0.0,0.0,0.0,1,0,101,105,96.2,2,90,1,0,0
Rodri,16.0,es ESP,DM,27-159,90,0,0,0,0,0,0,0,0,157,1,1,1,0.0,0.0,0.0,3,1,141,152,92.8,12,119,4,3,3
Joško Gvardiol,24.0,hr CRO,LB,21-309,89,0,1,0,0,0,0,0,0,129,0,1,0,0.0,0.0,0.4,3,1,119,126,94.4,18,100,1,1,1
Sergio Gómez,21.0,es ESP,LB,23-085,1,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,5,1,0,0
Rúben Dias,3.0,pt POR,CB,26-198,45,0,0,0,0,2,0,1,0,56,1,1,0,0.4,0.4,0.0,1,0,49,50,98.0,9,43,3,0,0
Nathan Aké,6.0,nl NED,CB,28-283,45,0,0,0,0,1,0,0,0,76,0,0,0,0.0,0.0,0.0,0,0,72,72,100.0,3,54,2,0,0
Kyle Walker,2.0,eng ENG,RB,33-184,53,0,0,0,0,0,0,0,0,36,1,2,1,0.0,0.0,0.0,0,0,28,31,90.3,1,24,0,0,0
Julián Álvarez,19.0,ar ARG,CM,23-301,37,1,0,0,0,1,1,0,0,33,0,0,0,0.3,0.3,0.1,4,1,22,28,78.6,4,21,1,1,1
Stefan Ortega,18.0,de GER,GK,31-022,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,0,39,41,95.1,0,28,0,0,0
15 Players,,,,,990,3,3,0,0,14,6,1,0,903,6,9,3,1.8,1.8,1.4,25,6,767,827,92.7,74,684,28,22,12
