Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Erling Haaland,9.0,no NOR,FW,23-075,90,0,0,0,0,6,2,0,0,24,0,0,0,0.7,0.7,0.1,3,1,10,15,66.7,1,15,1,2,1
Jack Grealish,10.0,eng ENG,LW,28-024,71,0,0,0,0,0,0,0,0,52,0,1,1,0.0,0.0,0.1,2,0,44,49,89.8,3,38,3,0,0
Nathan Aké,6.0,nl NED,CB,28-228,19,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,1,16,0,0,0
Bernardo Silva,20.0,pt POR,RW,29-055,86,0,0,0,0,3,0,0,0,62,0,0,0,0.4,0.4,0.1,4,1,49,55,89.1,8,41,8,3,1
Matheus Nunes,27.0,pt POR,RW,25-038,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Phil Foden,47.0,eng ENG,"CM,AM",23-129,78,1,0,0,0,6,1,0,0,75,0,1,0,0.5,0.5,0.8,6,0,55,64,85.9,7,49,1,1,1
Julián Álvarez,19.0,ar ARG,AM,23-246,12,1,1,0,0,1,1,0,0,5,0,0,0,0.0,0.0,0.5,1,1,2,3,66.7,1,4,1,0,0
Rico Lewis,82.0,eng ENG,"CM,DM",18-317,90,0,1,0,0,1,0,0,0,56,3,0,0,0.1,0.1,0.3,7,1,44,49,89.8,8,37,4,0,0
Rodri,16.0,es ESP,DM,27-104,90,0,0,0,0,0,0,0,0,122,0,1,0,0.0,0.0,0.0,3,0,107,118,90.7,15,77,2,2,2
Manuel Akanji,25.0,ch SUI,DM,28-077,71,0,0,0,0,0,0,1,0,74,0,1,0,0.0,0.0,0.0,1,0,68,72,94.4,6,45,0,0,0
Jeremy Doku,11.0,be BEL,LW,21-130,19,1,1,0,0,1,1,0,0,15,0,0,0,0.5,0.5,0.0,1,1,11,11,100.0,1,14,4,2,0
Joško Gvardiol,24.0,hr CRO,LB,21-254,90,0,0,0,0,0,0,0,0,133,1,1,1,0.0,0.0,0.0,4,1,119,126,94.4,4,92,5,3,1
Rúben Dias,3.0,pt POR,CB,26-143,90,0,0,0,0,0,0,0,0,120,1,2,3,0.0,0.0,0.0,0,0,104,109,95.4,5,81,1,0,0
Kyle Walker,2.0,eng ENG,RB,33-129,90,0,0,0,0,0,0,0,0,94,2,0,0,0.0,0.0,0.0,1,0,76,89,85.4,9,53,3,0,0
Ederson,31.0,br BRA,GK,30-048,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,29,31,93.5,0,16,0,0,0
15 Players,,,,,990,3,3,0,0,18,5,1,0,882,7,7,5,2.3,2.3,2.0,33,6,736,809,91.0,69,578,33,13,6
