Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Erling Haaland,9.0,no NOR,FW,23-016,63,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,
Cole Palmer,80.0,eng ENG,"FW,MF",21-092,27,1,0,0,0,2,1,0,0,1,0,,0,0,0,,,
Jack Grealish,10.0,eng ENG,AM,27-330,57,0,0,0,0,0,0,0,0,1,0,,2,0,1,,,
Phil Foden,47.0,eng ENG,"FW,MF",23-070,33,0,0,0,0,1,1,0,0,0,1,,1,1,0,,,
Julián Álvarez,19.0,ar ARG,AM,23-187,90,0,0,0,0,1,0,1,0,0,2,,1,1,1,,,
Bernardo Silva,20.0,pt POR,AM,28-361,90,0,0,0,0,0,0,0,0,3,1,,0,1,0,,,
Mateo Kovačić,8.0,hr CRO,DM,29-092,63,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
Kevin De Bruyne,17.0,be BEL,"FW,MF",32-039,27,0,1,0,0,0,0,0,0,1,0,,3,1,0,,,
Rodri,16.0,es ESP,DM,27-045,90,0,0,0,0,3,1,0,0,3,0,,0,2,1,,,
Manuel Akanji,25.0,ch SUI,LB,28-018,90,0,0,0,0,0,0,0,0,0,1,,3,0,0,,,
Rúben Dias,3.0,pt POR,CB,26-084,90,0,0,0,0,0,0,0,0,1,0,,0,1,1,,,
John Stones,5.0,eng ENG,CB,29-070,90,0,0,0,0,1,1,0,0,0,1,,0,0,1,,,
Kyle Walker,2.0,eng ENG,RB,33-070,90,0,0,0,0,0,0,0,0,0,0,,4,0,0,,,
Stefan Ortega,18.0,de GER,GK,30-273,90,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
14 Players,,,,,990,1,1,0,0,8,4,1,0,11,6,,14,7,5,,,
