Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Erling Haaland,9.0,no NOR,FW,23-109,60,2,0,1,1,3,2,0,0,13,0,0,0,1.2,0.4,0.0,1,0,4,7,57.1,0,9,2,0,0
Oscar Bobb,52.0,no NOR,FW,20-118,30,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,6,0,11,11,100.0,1,9,1,2,1
Jack Grealish,10.0,eng ENG,"LW,CM",28-058,90,0,1,0,0,3,1,0,0,54,2,0,1,0.4,0.4,1.0,8,1,40,46,87.0,6,40,7,1,0
Phil Foden,47.0,eng ENG,RW,23-163,90,1,0,0,0,6,3,0,0,66,0,0,2,0.5,0.5,0.1,6,2,39,51,76.5,5,43,7,3,3
Mateo Kovačić,8.0,hr CRO,CM,29-185,79,0,0,0,0,2,0,0,0,62,0,2,0,0.1,0.1,0.1,3,0,45,54,83.3,3,40,4,1,0
Jeremy Doku,11.0,be BEL,LW,21-164,11,0,0,0,0,1,1,0,0,13,1,0,0,0.0,0.0,0.2,3,0,9,11,81.8,0,12,4,6,6
Matheus Nunes,27.0,pt POR,CM,25-072,90,0,0,0,0,4,0,0,0,97,3,0,0,0.6,0.6,0.1,7,1,74,83,89.2,6,60,6,4,1
John Stones,5.0,eng ENG,DM,29-163,45,0,0,0,0,1,0,0,0,53,1,0,0,0.0,0.0,0.0,1,0,45,48,93.8,4,35,0,0,0
Nathan Aké,6.0,nl NED,DM,28-262,45,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,2,0,32,32,100.0,2,25,1,0,0
Rico Lewis,82.0,eng ENG,"DM,RB",18-351,90,0,1,0,0,1,0,0,0,61,0,0,1,0.3,0.3,0.4,7,2,50,54,92.6,6,44,4,1,0
Joško Gvardiol,24.0,hr CRO,LB,21-288,90,0,0,0,0,1,0,0,0,81,1,0,1,0.1,0.1,0.0,3,0,73,77,94.8,10,63,4,1,1
Rúben Dias,3.0,pt POR,CB,26-177,90,0,0,0,0,0,0,0,0,138,3,1,1,0.0,0.0,0.0,3,0,128,130,98.5,4,97,1,0,0
Kyle Walker,2.0,eng ENG,RB,33-163,60,0,0,0,0,1,1,0,0,86,0,0,0,0.2,0.2,0.0,2,0,74,84,88.1,8,64,1,1,1
Kalvin Phillips,4.0,eng ENG,DM,27-340,30,0,0,0,0,3,0,0,0,33,0,0,0,0.1,0.1,0.0,0,0,24,26,92.3,3,18,0,0,0
Ederson,31.0,br BRA,GK,30-082,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,36,36,100.0,0,30,0,0,0
15 Players,,,,,990,3,2,1,1,26,8,0,0,838,12,3,7,3.6,2.8,2.0,52,6,684,750,91.2,58,589,42,20,13
