Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Erling Haaland,9.0,no NOR,FW,23-026,90,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,,
Jack Grealish,10.0,eng ENG,AM,27-340,90,0,0,0,0,3,2,0,0,0,3,0,7,0,0,,,
Phil Foden,47.0,eng ENG,AM,23-080,90,0,0,0,0,2,0,0,0,0,1,0,10,0,0,,,
Cole Palmer,80.0,eng ENG,AM,21-102,84,1,0,0,0,4,3,0,0,1,1,0,5,1,0,,,
Julián Álvarez,19.0,ar ARG,"FW,MF",23-197,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mateo Kovačić,8.0,hr CRO,DM,29-102,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,,,
Rodri,16.0,es ESP,DM,27-055,90,0,1,0,0,3,0,0,0,1,2,0,2,2,0,,,
Joško Gvardiol,24.0,hr CRO,LB,21-205,90,0,0,0,0,3,0,0,0,0,2,0,2,0,0,,,
Nathan Aké,6.0,nl NED,CB,28-179,90,0,0,0,0,2,2,0,0,0,1,0,0,1,0,,,
Manuel Akanji,25.0,ch SUI,CB,28-028,90,0,0,0,0,2,0,0,0,0,1,0,0,0,1,,,
Kyle Walker,2.0,eng ENG,RB,33-080,90,0,0,0,0,2,0,0,0,2,1,0,2,0,1,,,
Ederson,31.0,br BRA,GK,29-364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
12 Players,,,,,990,1,1,0,0,23,7,0,0,5,14,0,28,4,3,,,
