minute,result,X,Y,xG,player,situation,season,shotType,Date,player_assisted,lastAction,time,squad,opponent,venue,GF,GA
50,SavedShot,0.9130000305175782,0.635,0.0814208686351776,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-30,Oscar Bobb,Pass,14:00:00,Manchester City,Wolverhampton Wanderers,Away,1,2
18,Goal,0.805,0.409000015258789,0.0568477362394332,Erling Haaland,OpenPlay,2023,LeftFoot,2023-10-21,,BallRecovery,14:00:00,Manchester City,Brighton,Home,2,1
66,SavedShot,0.901999969482422,0.39,0.1450418680906295,Erling Haaland,OpenPlay,2023,LeftFoot,2023-10-21,Phil Foden,Chipped,14:00:00,Manchester City,Brighton,Home,2,1
25,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2023-10-29,,Standard,15:30:00,Manchester City,Manchester United,Away,3,0
48,SavedShot,0.950999984741211,0.4640000152587891,0.5086833834648132,Erling Haaland,OpenPlay,2023,Head,2023-10-29,Bernardo Silva,Chipped,15:30:00,Manchester City,Manchester United,Away,3,0
48,Goal,0.9590000152587892,0.4359999847412109,0.4078716337680816,Erling Haaland,OpenPlay,2023,Head,2023-10-29,Bernardo Silva,Chipped,15:30:00,Manchester City,Manchester United,Away,3,0
70,SavedShot,0.9109999847412108,0.575999984741211,0.5055721402168274,Erling Haaland,OpenPlay,2023,LeftFoot,2023-10-29,Jack Grealish,Throughball,15:30:00,Manchester City,Manchester United,Away,3,0
95,BlockedShot,0.735,0.4409999847412109,0.0527408272027969,Erling Haaland,DirectFreekick,2023,LeftFoot,2023-10-29,,Standard,15:30:00,Manchester City,Manchester United,Away,3,0
21,BlockedShot,0.965999984741211,0.5609999847412109,0.0972415879368782,Erling Haaland,OpenPlay,2023,Head,2023-11-04,Julián Álvarez,Aerial,15:00:00,Manchester City,Bournemouth,Home,6,1
24,BlockedShot,0.911999969482422,0.38,0.1598657369613647,Erling Haaland,OpenPlay,2023,RightFoot,2023-11-04,,TakeOn,15:00:00,Manchester City,Bournemouth,Home,6,1
47,BlockedShot,0.879000015258789,0.5879999923706055,0.1396707445383072,Erling Haaland,OpenPlay,2023,LeftFoot,2023-11-04,Julián Álvarez,Throughball,15:00:00,Manchester City,Bournemouth,Home,6,1
24,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2023-11-12,,Standard,16:30:00,Manchester City,Chelsea,Away,4,4
31,MissedShots,0.991999969482422,0.5840000152587891,0.2866228520870209,Erling Haaland,OpenPlay,2023,LeftFoot,2023-11-12,Phil Foden,Cross,16:30:00,Manchester City,Chelsea,Away,4,4
41,SavedShot,0.874000015258789,0.5579999923706055,0.3491571247577667,Erling Haaland,OpenPlay,2023,LeftFoot,2023-11-12,Bernardo Silva,Pass,16:30:00,Manchester City,Chelsea,Away,4,4
46,Goal,0.9769999694824218,0.5279999923706055,0.8636682629585266,Erling Haaland,OpenPlay,2023,OtherBodyPart,2023-11-12,,,16:30:00,Manchester City,Chelsea,Away,4,4
26,Goal,0.86,0.5870000076293945,0.3175771236419678,Erling Haaland,OpenPlay,2023,LeftFoot,2023-11-25,Nathan Aké,Pass,12:30:00,Manchester City,Liverpool,Home,1,1
54,MissedShots,0.87,0.47,0.1008122712373733,Erling Haaland,OpenPlay,2023,LeftFoot,2023-11-25,,,12:30:00,Manchester City,Liverpool,Home,1,1
75,MissedShots,0.919000015258789,0.4540000152587891,0.0524505302309989,Erling Haaland,SetPiece,2023,Head,2023-11-25,Julián Álvarez,Aerial,12:30:00,Manchester City,Liverpool,Home,1,1
78,SavedShot,0.96,0.5670000076293945,0.5778946876525879,Erling Haaland,OpenPlay,2023,LeftFoot,2023-11-25,Jéremy Doku,Pass,12:30:00,Manchester City,Liverpool,Home,1,1
97,MissedShots,0.9669999694824218,0.5570000076293945,0.0761165916919708,Erling Haaland,FromCorner,2023,Head,2023-11-25,Julián Álvarez,Aerial,12:30:00,Manchester City,Liverpool,Home,1,1
8,MissedShots,0.8919999694824219,0.4229999923706055,0.0467582792043685,Erling Haaland,SetPiece,2023,Head,2023-12-03,Julián Álvarez,Cross,16:30:00,Manchester City,Tottenham,Home,3,3
12,MissedShots,0.92,0.499000015258789,0.486733078956604,Erling Haaland,OpenPlay,2023,LeftFoot,2023-12-03,Bernardo Silva,BallRecovery,16:30:00,Manchester City,Tottenham,Home,3,3
15,BlockedShot,0.8580000305175781,0.605999984741211,0.037390049546957,Erling Haaland,FromCorner,2023,LeftFoot,2023-12-03,Bernardo Silva,Chipped,16:30:00,Manchester City,Tottenham,Home,3,3
35,MissedShots,0.8690000152587891,0.4779999923706055,0.1250195503234863,Erling Haaland,OpenPlay,2023,LeftFoot,2023-12-03,Julián Álvarez,Pass,16:30:00,Manchester City,Tottenham,Home,3,3
53,MissedShots,0.935,0.49,0.1488239914178848,Erling Haaland,OpenPlay,2023,Head,2023-12-03,Jack Grealish,Cross,16:30:00,Manchester City,Tottenham,Home,3,3
